driver_id,arrival_time,online_until,earnings,busy_time,online_duration,busy_time_capped,idle_time,idle_ratio
2805,940.5707340675522,948.2696915767096,155.03346336937423,7.32692266472118,7.698957509157481,7.32692266472118,0.37203484443630064,0.048322755904781384
2806,941.012652576857,948.13151413689,145.75507690781515,5.870077075508068,7.118861560032997,5.870077075508068,1.2487844845249292,0.17541912762230213
2807,941.5929154987376,948.0734480301995,173.44020246638473,6.4005840720075104,6.480532531461904,6.4005840720075104,0.07994845945439355,0.012336711383865002
2808,941.7998421688602,948.116143671489,172.10808271483066,6.585135332053796,6.316301502628789,6.316301502628789,0.0,0.0
2809,942.4310721393631,949.8404555067359,156.64655741911537,7.38188519615856,7.409383367372811,7.38188519615856,0.027498171214251244,0.0037112631174328658
2810,942.4703103021137,950.2628869351038,187.77751595300873,7.809172815230301,7.7925766329900625,7.7925766329900625,0.0,0.0
2811,942.6049401253331,949.2090120706431,157.2471634396424,6.090528054036771,6.604071945310011,6.090528054036771,0.5135438912732395,0.07776170452503035
2812,943.1182766641194,950.5077908223612,209.74309022042632,7.034513532745435,7.389514158241809,7.034513532745435,0.35500062549637423,0.04804113205472763
2813,943.5477164998729,951.1334308150713,214.0346033912628,7.659093651965561,7.585714315198402,7.585714315198402,0.0,0.0
2814,943.5481067050044,949.9947768345368,157.8104155534599,6.318854031745647,6.446670129532322,6.318854031745647,0.1278160977866749,0.01982668497355664
2815,943.5945534142229,951.3216742776723,147.4794436140248,6.810996339986725,7.727120863449386,6.810996339986725,0.9161245234626607,0.11855962131977095
2816,944.3605035746442,950.7935378672066,154.8048488769036,6.046895666475108,6.433034292562411,6.046895666475108,0.38613862608730276,0.06002433820906864
2817,944.3916495378354,952.0863996152509,176.55517604653173,7.174017717339735,7.694750077415506,7.174017717339735,0.5207323600757707,0.06767371972276884
2818,944.5702197582593,950.6494872927921,124.28840832712737,5.4397245906213865,6.0792675345327325,5.4397245906213865,0.639542943911346,0.10520065785532218
2819,944.6331100917342,951.0799954144959,153.2428060938753,6.687842220391129,6.446885322761659,6.446885322761659,0.0,0.0
2820,945.0132656583494,951.8136811326171,162.58428962769074,6.361356618444304,6.800415474267766,6.361356618444304,0.43905885582346205,0.0645635340200648
2821,945.3711590925165,951.4174054571291,123.74137245160249,4.668077241539319,6.046246364612671,4.668077241539319,1.3781691230733522,0.2279379700998405
2822,946.0037207867897,953.2319017019096,160.12697485005447,5.721622512666303,7.228180915119879,5.721622512666303,1.5065584024535754,0.2084284303540553
2823,946.0791196261085,953.3550528670004,124.3050099288618,6.133722826799088,7.275933240891845,6.133722826799088,1.142210414092757,0.1569847298314066
2824,946.2596536126313,953.7184895287041,187.69346561569614,7.640024022446729,7.458835916072871,7.458835916072871,0.0,0.0
2825,946.3195142638284,952.6492077191328,137.2274592962116,5.330748195450879,6.329693455304437,5.330748195450879,0.9989452598535573,0.15781890022121323
2826,946.4476336284167,954.0830426959063,180.51429183507258,7.725302079610835,7.635409067489604,7.635409067489604,0.0,0.0
2827,946.6810621893077,953.1716391041053,145.08896104129641,6.251874525376801,6.490576914797657,6.251874525376801,0.23870238942085642,0.03677675999442308
2828,946.8994272217509,953.5082564167267,167.12094894050506,6.145461382241123,6.608829194975783,6.145461382241123,0.4633678127346599,0.07011344960873328
2829,946.9195950131366,953.3447883318933,121.10805729452679,5.034186683910806,6.425193318756669,5.034186683910806,1.391006634845863,0.2164925731938965
2830,946.938141947817,953.4058128369389,144.15389525189653,5.444561398326389,6.467670889121905,5.444561398326389,1.023109490795516,0.15818824246550683
2831,947.4079885061857,954.288288327721,132.87004174923118,5.572058652790683,6.8802998215353455,5.572058652790683,1.3082411687446625,0.19014304647740296
2832,947.7976778077775,954.6138384738606,188.20454269844078,7.42510683911007,6.8161606660830785,6.8161606660830785,0.0,0.0
