lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,avg_idle_ratio,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
2.3,4,lam2.3_kmean_4,1.916506512919069,0.0937858945824531,14.147856004648679,36746,117.35182765127448,595795.2289855205,16.73677008874548,2.474423268013708,0.3632712964679309,1341.0896560923352,0.31206067866089116,31.302122077953186,0.002680477949613791,0.8538523016487005,1.1491835199817757
2.4000000000000004,3,lam2.4_kmean_3,1.70011743354329,0.08288075803534643,14.015372990993646,36831,114.16112445906816,597633.4865432219,16.34015625054487,2.5878644400024293,0.3632712964679309,1428.988192013987,0.3311281343812949,23.976462619239065,-0.06268646111823539,-6.47180715706542,-2.0415196722245383
2.4000000000000004,4,lam2.4_kmean_4,1.7375033413525796,0.08810623760982451,13.968201260353394,36760,116.29589747346347,596481.6581413941,16.586820510046696,2.5379529111955637,0.3632712964679309,1345.7249135372574,0.3154378120833948,30.980419074589555,-0.0007665941522025932,0.53214929828507,0.09325334217076886
2.5,3,lam2.5_kmean_3,1.70011743354329,0.08288075803534643,14.015372990993646,36831,114.16112445906816,597633.4865432219,16.34015625054487,2.5878644400024293,0.3632712964679309,1428.988192013987,0.3311281343812949,23.976462619239065,-0.06268646111823539,-6.47180715706542,-2.0415196722245383
2.5,4,lam2.5_kmean_4,1.5190821320638657,0.0665770036685048,13.822648534989877,36823,114.28713677651024,595778.8440159479,16.336193629428102,2.614161424387555,0.3632712964679309,1378.8859090883207,0.32491279510623694,28.54025318125735,-0.025427218506033356,-1.9080165950471368,-1.9155073547824628
2.6,3,lam2.6_kmean_3,1.8316580904897752,0.08395722588566766,13.906908391872852,36820,116.64636817447867,595946.2950034115,16.665510047837678,2.517196055199273,0.3632712964679309,1410.4551726581635,0.3219648215601941,28.41410158056482,-0.04890412977138325,-2.034168195739664,0.44372404318596637
2.6,4,lam2.6_kmean_4,1.4644855559422774,0.07039871383024432,13.805191615184143,36804,114.66332662439015,597281.2683864483,16.37226117455382,2.6094513613057733,0.3632712964679309,1386.677041853601,0.3247604430752714,28.27391885535809,-0.03122120011673446,-2.174350920946395,-1.5393175069025489
2.7,3,lam2.7_kmean_3,1.8608500640751817,0.09204895568766494,14.002624677215533,36759,115.74536494349853,596088.6294590174,16.54009997878313,2.5406270334703986,0.3632712964679309,1405.792112246943,0.32393430485278085,27.391277086187557,-0.04543638161637831,-3.056992690116928,-0.4572791877941711
2.7,4,lam2.7_kmean_4,1.9035397283712971,0.09510121886302877,14.026066224111206,36692,116.29091846214403,592851.1023200103,16.62766505150444,2.5070822009305176,0.3632712964679309,1413.6787311471967,0.3233177601385821,26.728532006382242,-0.05130137278714986,-3.7197377699222436,0.08827433085133407
2.8,3,lam2.8_kmean_3,2.3478960064325918,0.11426438974130057,14.061879967273578,36434,116.19505422499512,589689.9001918503,16.592797540021746,2.521072895513985,0.3632712964679309,1399.6775584770717,0.3219781174255332,27.051241490906452,-0.04088921072767859,-3.397028285398033,-0.007589906297582161
2.8,4,lam2.8_kmean_4,1.6551761139576682,0.08071635797003476,14.010683262099745,36660,115.14997328017796,593367.812312757,16.472100005252848,2.549758546175611,0.3632712964679309,1365.3809986039648,0.32089510018567086,30.164755563332445,-0.015384108555550169,-0.28351421297204027,-1.0526708511147405
2.9000000000000004,3,lam2.9_kmean_3,2.010522360015032,0.10247630882771397,14.217225420829202,36505,117.53168022274022,590949.2881599378,16.806552974818544,2.4334278402638185,0.3632712964679309,1336.9633921774403,0.3111034398506006,29.719779257067785,0.00574903010551342,-0.7284905192367006,1.32903609144752
2.9000000000000004,4,lam2.9_kmean_4,1.4744984288131497,0.07579028800316537,13.988172095301195,36684,114.73330747773525,594089.0661197131,16.420102203004976,2.5688841818775985,0.3632712964679309,1379.2374094869597,0.323690535179268,29.101789822456865,-0.025688616547528076,-1.34647995384762,-1.4693366535574484
3.0,3,lam3.0_kmean_3,1.7243687578654243,0.08163048667237684,13.853547575318142,36703,114.93709939948702,595489.1119887423,16.43576331073143,2.5842732505865937,0.3632712964679309,1397.6183500380098,0.3252625512538704,27.73897069988864,-0.03935785242742029,-2.7092990764158458,-1.2655447318056758
3.0,4,lam3.0_kmean_4,1.4744984288131497,0.07579028800316537,13.988172095301195,36684,114.73330747773525,594089.0661197131,16.420102203004976,2.5688841818775985,0.3632712964679309,1379.2374094869597,0.323690535179268,29.101789822456865,-0.025688616547528076,-1.34647995384762,-1.4693366535574484
3.1,3,lam3.1_kmean_3,1.7311253656834589,0.0823618089609108,13.840914472272175,36614,114.36363363910496,593890.3494878721,16.350063255637984,2.61111501679286,0.3632712964679309,1444.6927553055682,0.3323531519499213,25.04071580864131,-0.07436537272926591,-5.407553967663176,-1.8390104921877395
3.1,4,lam3.1_kmean_4,1.497246136570237,0.07591146341545416,14.02684940317055,36842,114.69297821727454,596174.1007733931,16.40160167836089,2.5699316715349445,0.3632712964679309,1421.4578540272857,0.32872305437553556,26.973874349887783,-0.057086423083748006,-3.4743954264167023,-1.5096659140181572
3.2,3,lam3.2_kmean_3,2.1226541196599475,0.10160105312574472,14.282845245787188,36612,116.16053902107323,593348.0333196421,16.64277957113482,2.4693474454488293,0.3632712964679309,1361.3969397835642,0.31763896072794556,28.360722636700658,-0.012421309147969906,-2.087547139603828,-0.042105110219466724
